case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-04-20 08:00:00+00:00,2023-04-20 08:00:46.205777461+00:00,0,Clerk-000001
0,6,Appraise property,2023-04-20 08:00:46.205777461+00:00,2023-04-20 08:02:58.973563211+00:00,1,Appraiser-000002
0,12,Check credit history,2023-04-20 08:02:58.973563211+00:00,2023-04-20 09:01:50.505512232+00:00,2,Clerk-000008
1,1,Check application form completeness,2023-04-20 08:30:00+00:00,2023-04-20 08:34:27.856435803+00:00,3,Clerk-000002
0,2,AML check,2023-04-20 09:01:50.505512232+00:00,2023-04-20 09:05:31.454638597+00:00,4,AML Investigator-000001
1,5,Return application back to applicant,2023-04-20 08:34:27.856435803+00:00,2023-04-20 08:39:27.856435803+00:00,5,Clerk-000004
2,4,Check application form completeness,2023-04-20 09:00:00+00:00,2023-04-20 10:00:40.238375770+00:00,6,Clerk-000003
0,15,Assess loan risk,2023-04-20 09:05:31.454638597+00:00,2023-04-20 09:25:31.454638597+00:00,7,Loan Officer-000003
1,18,Applicant completes form,2023-04-20 08:39:27.856435803+00:00,2023-04-20 09:39:27.856435803+00:00,8,Applicant-000001
0,16,Design loan offer,2023-04-20 09:25:31.454638597+00:00,2023-04-20 09:25:53.606524672+00:00,9,Loan Officer-000004
2,8,Check credit history,2023-04-20 10:00:40.238375770+00:00,2023-04-20 11:27:28.986722356+00:00,10,Clerk-000005
0,17,Approve loan offer,2023-04-20 09:25:53.606524672+00:00,2023-04-20 09:45:53.606524672+00:00,11,Senior Officer-000002
3,9,Check application form completeness,2023-04-20 09:30:00+00:00,2023-04-20 11:01:53.548675408+00:00,12,Clerk-000006
1,10,Check application form completeness,2023-04-20 09:39:27.856435803+00:00,2023-04-20 10:12:00.073545177+00:00,13,Clerk-000007
2,6,Appraise property,2023-04-20 11:27:28.986722356+00:00,2023-04-20 11:28:10.426297322+00:00,14,Appraiser-000002
0,0,Cancel application,2023-04-20 09:45:53.606524672+00:00,2023-04-20 09:50:53.606524672+00:00,15,Clerk-000001
4,1,Check application form completeness,2023-04-20 10:00:00+00:00,2023-04-20 10:01:52.057963815+00:00,16,Clerk-000002
1,2,AML check,2023-04-20 10:12:00.073545177+00:00,2023-04-20 10:43:27.060414830+00:00,17,AML Investigator-000001
3,3,Appraise property,2023-04-20 11:01:53.548675408+00:00,2023-04-20 11:21:39.918097264+00:00,18,Appraiser-000001
2,2,AML check,2023-04-20 11:28:10.426297322+00:00,2023-04-20 11:29:16.405180262+00:00,19,AML Investigator-000001
5,5,Check application form completeness,2023-04-20 10:30:00+00:00,2023-04-20 11:17:39.593983121+00:00,20,Clerk-000004
1,6,Appraise property,2023-04-20 10:43:27.060414830+00:00,2023-04-20 11:08:42.977453283+00:00,21,Appraiser-000002
3,0,Check credit history,2023-04-20 11:21:39.918097264+00:00,2023-04-20 11:34:17.755906013+00:00,22,Clerk-000001
2,15,Assess loan risk,2023-04-20 11:29:16.405180262+00:00,2023-04-20 11:49:16.405180262+00:00,23,Loan Officer-000003
4,0,Check credit history,2023-04-20 10:01:52.057963815+00:00,2023-04-20 10:15:17.878379050+00:00,24,Clerk-000001
6,12,Check application form completeness,2023-04-20 11:00:00+00:00,2023-04-20 11:07:13.488685612+00:00,25,Clerk-000008
1,12,Check credit history,2023-04-20 11:08:42.977453283+00:00,2023-04-20 11:20:05.028657647+00:00,26,Clerk-000008
5,2,AML check,2023-04-20 11:29:16.405180262+00:00,2023-04-20 12:30:56.647670823+00:00,27,AML Investigator-000001
3,7,AML check,2023-04-20 11:34:17.755906013+00:00,2023-04-20 12:47:34.407545357+00:00,28,AML Investigator-000002
2,13,Design loan offer,2023-04-20 11:49:16.405180262+00:00,2023-04-20 12:01:51.810486732+00:00,29,Loan Officer-000002
4,3,Appraise property,2023-04-20 10:15:17.878379050+00:00,2023-04-20 10:48:18.161137362+00:00,30,Appraiser-000001
1,16,Assess loan risk,2023-04-20 11:20:05.028657647+00:00,2023-04-20 11:40:05.028657647+00:00,32,Loan Officer-000004
7,4,Check application form completeness,2023-04-20 11:30:00+00:00,2023-04-20 12:43:37.044969264+00:00,33,Clerk-000003
2,17,Approve loan offer,2023-04-20 12:01:51.810486732+00:00,2023-04-20 12:21:51.810486732+00:00,34,Senior Officer-000002
5,5,Check credit history,2023-04-20 12:30:56.647670823+00:00,2023-04-20 12:32:57.258562743+00:00,35,Clerk-000004
3,11,Assess loan risk,2023-04-20 12:47:34.407545357+00:00,2023-04-20 13:07:34.407545357+00:00,36,Loan Officer-000001
4,2,AML check,2023-04-20 10:48:18.161137362+00:00,2023-04-20 11:07:20.489835078+00:00,37,AML Investigator-000001
6,6,Appraise property,2023-04-20 11:29:16.405180262+00:00,2023-04-20 11:34:52.081959961+00:00,38,Appraiser-000002
1,15,Design loan offer,2023-04-20 11:40:05.028657647+00:00,2023-04-20 11:59:54.735172659+00:00,39,Loan Officer-000003
8,1,Check application form completeness,2023-04-20 12:00:00+00:00,2023-04-20 12:58:46.306171389+00:00,40,Clerk-000002
2,1,Cancel application,2023-04-20 12:21:51.810486732+00:00,2023-04-20 12:26:51.810486732+00:00,41,Clerk-000002
5,3,Appraise property,2023-04-20 12:32:57.258562743+00:00,2023-04-20 13:06:05.544111165+00:00,42,Appraiser-000001
7,3,Appraise property,2023-04-20 13:06:05.544111165+00:00,2023-04-20 14:18:25.869616135+00:00,43,Appraiser-000001
3,13,Design loan offer,2023-04-20 13:07:34.407545357+00:00,2023-04-20 13:15:38.495634963+00:00,44,Loan Officer-000002
4,11,Assess loan risk,2023-04-20 11:07:20.489835078+00:00,2023-04-20 11:27:20.489835078+00:00,45,Loan Officer-000001
1,14,Approve loan offer,2023-04-20 11:59:54.735172659+00:00,2023-04-20 12:19:54.735172659+00:00,47,Senior Officer-000001
8,6,Appraise property,2023-04-20 12:58:46.306171389+00:00,2023-04-20 13:09:22.147897807+00:00,48,Appraiser-000002
5,16,Assess loan risk,2023-04-20 13:06:05.544111165+00:00,2023-04-20 13:26:05.544111165+00:00,49,Loan Officer-000004
3,17,Approve loan offer,2023-04-20 13:15:38.495634963+00:00,2023-04-20 13:35:38.495634963+00:00,50,Senior Officer-000002
7,12,Check credit history,2023-04-20 14:18:25.869616135+00:00,2023-04-20 14:57:30.530928564+00:00,51,Clerk-000008
4,0,Reject application,2023-04-20 11:27:20.489835078+00:00,2023-04-20 11:37:20.489835078+00:00,52,Clerk-000001
1,0,Approve application,2023-04-20 12:19:54.735172659+00:00,2023-04-20 12:24:54.735172659+00:00,53,Clerk-000001
9,10,Check application form completeness,2023-04-20 12:30:00+00:00,2023-04-20 12:56:10.547919742+00:00,54,Clerk-000007
6,5,Check credit history,2023-04-20 12:30:56.647670823+00:00,2023-04-20 13:09:54.163452029+00:00,55,Clerk-000004
10,9,Check application form completeness,2023-04-20 13:00:00+00:00,2023-04-20 13:03:47.844864232+00:00,56,Clerk-000006
8,1,Check credit history,2023-04-20 13:09:22.147897807+00:00,2023-04-20 14:35:05.507241597+00:00,57,Clerk-000002
5,0,Reject application,2023-04-20 13:26:05.544111165+00:00,2023-04-20 13:36:05.544111165+00:00,58,Clerk-000001
3,8,Cancel application,2023-04-20 13:35:38.495634963+00:00,2023-04-20 13:40:38.495634963+00:00,59,Clerk-000005
7,2,AML check,2023-04-20 14:57:30.530928564+00:00,2023-04-21 07:09:32.903700639+00:00,60,AML Investigator-000001
9,1,Check credit history,2023-04-20 12:56:10.547919742+00:00,2023-04-20 14:31:50.817285475+00:00,61,Clerk-000002
10,2,AML check,2023-04-20 13:03:47.844864232+00:00,2023-04-20 14:44:31.673300322+00:00,62,AML Investigator-000001
6,7,AML check,2023-04-20 13:09:54.163452029+00:00,2023-04-20 13:25:22.720669691+00:00,63,AML Investigator-000002
11,4,Check application form completeness,2023-04-20 13:30:00+00:00,2023-04-20 14:18:27.869153799+00:00,64,Clerk-000003
7,15,Assess loan risk,2023-04-21 07:09:32.903700639+00:00,2023-04-21 07:29:32.903700639+00:00,66,Loan Officer-000003
11,12,Check credit history,2023-04-20 14:18:27.869153799+00:00,2023-04-20 15:10:22.458028273+00:00,67,Clerk-000008
9,6,Appraise property,2023-04-20 14:31:50.817285475+00:00,2023-04-20 14:34:14.666180763+00:00,68,Appraiser-000002
10,5,Check credit history,2023-04-20 14:44:31.673300322+00:00,2023-04-20 14:57:22.869348232+00:00,69,Clerk-000004
8,7,AML check,2023-04-21 07:09:32.903700639+00:00,2023-04-21 07:12:53.766320190+00:00,70,AML Investigator-000002
7,8,Reject application,2023-04-21 07:29:32.903700639+00:00,2023-04-21 07:39:32.903700639+00:00,71,Clerk-000005
6,13,Assess loan risk,2023-04-20 13:25:22.720669691+00:00,2023-04-20 13:45:22.720669691+00:00,72,Loan Officer-000002
12,10,Check application form completeness,2023-04-20 14:00:00+00:00,2023-04-20 14:02:48.684631696+00:00,73,Clerk-000007
13,9,Check application form completeness,2023-04-20 14:30:00+00:00,2023-04-20 14:44:58.833931129+00:00,74,Clerk-000006
10,3,Appraise property,2023-04-20 14:57:22.869348232+00:00,2023-04-20 14:59:04.075369075+00:00,76,Appraiser-000001
11,7,AML check,2023-04-20 15:10:22.458028273+00:00,2023-04-21 07:38:39.308798051+00:00,77,AML Investigator-000002
8,16,Assess loan risk,2023-04-21 07:12:53.766320190+00:00,2023-04-21 07:32:53.766320190+00:00,78,Loan Officer-000004
6,13,Design loan offer,2023-04-20 13:45:22.720669691+00:00,2023-04-20 14:02:34.606556819+00:00,79,Loan Officer-000002
12,2,AML check,2023-04-20 14:44:31.673300322+00:00,2023-04-20 14:51:12.740126512+00:00,80,AML Investigator-000001
13,1,Check credit history,2023-04-20 14:44:58.833931129+00:00,2023-04-20 14:51:44.287272361+00:00,81,Clerk-000002
10,13,Assess loan risk,2023-04-20 14:59:04.075369075+00:00,2023-04-21 07:19:04.075369075+00:00,82,Loan Officer-000002
14,0,Check application form completeness,2023-04-20 15:00:00+00:00,2023-04-20 15:36:17.469178324+00:00,83,Clerk-000001
8,15,Design loan offer,2023-04-21 07:32:53.766320190+00:00,2023-04-21 07:35:51.784210863+00:00,85,Loan Officer-000003
11,3,Appraise property,2023-04-21 07:38:39.308798051+00:00,2023-04-21 08:19:45.491036679+00:00,86,Appraiser-000001
6,14,Approve loan offer,2023-04-20 14:02:34.606556819+00:00,2023-04-20 14:22:34.606556819+00:00,87,Senior Officer-000001
12,6,Appraise property,2023-04-20 14:51:12.740126512+00:00,2023-04-20 14:58:49.047359191+00:00,88,Appraiser-000002
14,3,Appraise property,2023-04-20 15:36:17.469178324+00:00,2023-04-21 08:15:42.972521394+00:00,90,Appraiser-000001
10,11,Design loan offer,2023-04-21 07:19:04.075369075+00:00,2023-04-21 07:36:27.717060199+00:00,91,Loan Officer-000001
15,10,Check application form completeness,2023-04-21 07:30:00+00:00,2023-04-21 07:59:57.731685742+00:00,92,Clerk-000007
8,17,Approve loan offer,2023-04-21 07:35:51.784210863+00:00,2023-04-21 07:55:51.784210863+00:00,93,Senior Officer-000002
9,2,AML check,2023-04-21 07:38:39.308798051+00:00,2023-04-21 07:44:25.153396034+00:00,94,AML Investigator-000001
11,15,Assess loan risk,2023-04-21 08:19:45.491036679+00:00,2023-04-21 08:39:45.491036679+00:00,95,Loan Officer-000003
6,5,Cancel application,2023-04-20 14:22:34.606556819+00:00,2023-04-20 14:27:34.606556819+00:00,96,Clerk-000004
12,5,Check credit history,2023-04-20 14:58:49.047359191+00:00,2023-04-20 15:40:59.945296007+00:00,97,Clerk-000004
13,6,Appraise property,2023-04-21 07:09:32.903700639+00:00,2023-04-21 07:58:23.641663813+00:00,98,Appraiser-000002
10,14,Approve loan offer,2023-04-21 07:36:27.717060199+00:00,2023-04-21 07:56:27.717060199+00:00,99,Senior Officer-000001
9,16,Assess loan risk,2023-04-21 07:44:25.153396034+00:00,2023-04-21 08:04:25.153396034+00:00,100,Loan Officer-000004
8,10,Cancel application,2023-04-21 07:55:51.784210863+00:00,2023-04-21 08:00:51.784210863+00:00,101,Clerk-000007
15,5,Check credit history,2023-04-21 07:59:57.731685742+00:00,2023-04-21 08:00:04.801610719+00:00,102,Clerk-000004
16,4,Check application form completeness,2023-04-21 08:00:00+00:00,2023-04-21 08:13:49.560963455+00:00,103,Clerk-000003
14,5,Check credit history,2023-04-21 08:15:42.972521394+00:00,2023-04-21 08:29:13.392495537+00:00,104,Clerk-000004
11,8,Reject application,2023-04-21 08:39:45.491036679+00:00,2023-04-21 08:49:45.491036679+00:00,105,Clerk-000005
10,1,Approve application,2023-04-21 07:56:27.717060199+00:00,2023-04-21 08:01:27.717060199+00:00,106,Clerk-000002
13,2,AML check,2023-04-21 07:58:23.641663813+00:00,2023-04-21 08:01:52.636292294+00:00,107,AML Investigator-000001
15,7,AML check,2023-04-21 08:00:04.801610719+00:00,2023-04-21 08:26:36.989081235+00:00,108,AML Investigator-000002
16,9,Return application back to applicant,2023-04-21 08:13:49.560963455+00:00,2023-04-21 08:18:49.560963455+00:00,109,Clerk-000006
14,7,AML check,2023-04-21 08:29:13.392495537+00:00,2023-04-21 09:15:02.226702709+00:00,110,AML Investigator-000002
17,12,Check application form completeness,2023-04-21 08:30:00+00:00,2023-04-21 08:47:48.014421888+00:00,111,Clerk-000008
12,13,Assess loan risk,2023-04-21 07:35:51.784210863+00:00,2023-04-21 07:55:51.784210863+00:00,112,Loan Officer-000002
9,15,Design loan offer,2023-04-21 08:04:25.153396034+00:00,2023-04-21 08:05:48.413251832+00:00,113,Loan Officer-000003
16,18,Applicant completes form,2023-04-21 08:18:49.560963455+00:00,2023-04-21 09:18:49.560963455+00:00,114,Applicant-000001
15,6,Appraise property,2023-04-21 08:26:36.989081235+00:00,2023-04-21 08:45:47.915117392+00:00,115,Appraiser-000002
17,6,Appraise property,2023-04-21 08:47:48.014421888+00:00,2023-04-21 09:36:01.158084769+00:00,116,Appraiser-000002
14,15,Assess loan risk,2023-04-21 09:15:02.226702709+00:00,2023-04-21 09:35:02.226702709+00:00,117,Loan Officer-000003
12,11,Design loan offer,2023-04-21 07:55:51.784210863+00:00,2023-04-21 07:58:07.397410091+00:00,118,Loan Officer-000001
13,11,Assess loan risk,2023-04-21 08:01:52.636292294+00:00,2023-04-21 08:21:52.636292294+00:00,119,Loan Officer-000001
9,14,Approve loan offer,2023-04-21 08:05:48.413251832+00:00,2023-04-21 08:25:48.413251832+00:00,120,Senior Officer-000001
15,11,Assess loan risk,2023-04-21 08:45:47.915117392+00:00,2023-04-21 09:05:47.915117392+00:00,121,Loan Officer-000001
18,0,Check application form completeness,2023-04-21 09:00:00+00:00,2023-04-21 09:00:13.099506628+00:00,122,Clerk-000001
16,9,Check application form completeness,2023-04-21 09:18:49.560963455+00:00,2023-04-21 09:34:20.678813203+00:00,123,Clerk-000006
14,9,Reject application,2023-04-21 09:35:02.226702709+00:00,2023-04-21 09:45:02.226702709+00:00,124,Clerk-000006
17,7,AML check,2023-04-21 09:36:01.158084769+00:00,2023-04-21 09:43:39.683117498+00:00,125,AML Investigator-000002
12,17,Approve loan offer,2023-04-21 07:58:07.397410091+00:00,2023-04-21 08:18:07.397410091+00:00,126,Senior Officer-000002
13,11,Design loan offer,2023-04-21 08:21:52.636292294+00:00,2023-04-21 08:26:18.536988518+00:00,127,Loan Officer-000001
9,8,Approve application,2023-04-21 08:25:48.413251832+00:00,2023-04-21 08:30:48.413251832+00:00,128,Clerk-000005
18,12,Check credit history,2023-04-21 09:00:13.099506628+00:00,2023-04-21 09:52:31.314562040+00:00,129,Clerk-000008
15,13,Design loan offer,2023-04-21 09:05:47.915117392+00:00,2023-04-21 09:05:51.183110035+00:00,130,Loan Officer-000002
19,10,Check application form completeness,2023-04-21 09:30:00+00:00,2023-04-21 09:35:43.868289062+00:00,131,Clerk-000007
16,2,AML check,2023-04-21 09:34:20.678813203+00:00,2023-04-21 10:28:36.463893744+00:00,132,AML Investigator-000001
17,0,Check credit history,2023-04-21 09:43:39.683117498+00:00,2023-04-21 10:12:25.826533736+00:00,133,Clerk-000001
12,10,Approve application,2023-04-21 08:18:07.397410091+00:00,2023-04-21 08:23:07.397410091+00:00,134,Clerk-000007
13,17,Approve loan offer,2023-04-21 08:26:18.536988518+00:00,2023-04-21 08:46:18.536988518+00:00,135,Senior Officer-000002
19,2,AML check,2023-04-21 10:28:36.463893744+00:00,2023-04-21 10:44:48.153221469+00:00,136,AML Investigator-000001
18,7,AML check,2023-04-21 09:52:31.314562040+00:00,2023-04-21 10:26:31.623806475+00:00,137,AML Investigator-000002
20,1,Check application form completeness,2023-04-21 10:00:00+00:00,2023-04-21 10:06:55.914680403+00:00,138,Clerk-000002
17,16,Assess loan risk,2023-04-21 10:12:25.826533736+00:00,2023-04-21 10:32:25.826533736+00:00,139,Loan Officer-000004
16,8,Check credit history,2023-04-21 10:28:36.463893744+00:00,2023-04-21 11:36:05.221447608+00:00,140,Clerk-000005
15,17,Approve loan offer,2023-04-21 09:05:51.183110035+00:00,2023-04-21 09:25:51.183110035+00:00,141,Senior Officer-000002
20,5,Check credit history,2023-04-21 10:06:55.914680403+00:00,2023-04-21 11:23:21.552207553+00:00,142,Clerk-000004
18,3,Appraise property,2023-04-21 10:26:31.623806475+00:00,2023-04-21 10:57:31.951301675+00:00,143,Appraiser-000001
21,4,Check application form completeness,2023-04-21 10:30:00+00:00,2023-04-21 10:31:56.280281268+00:00,144,Clerk-000003
17,11,Design loan offer,2023-04-21 10:32:25.826533736+00:00,2023-04-21 10:50:39.726158822+00:00,145,Loan Officer-000001
19,12,Check credit history,2023-04-21 10:44:48.153221469+00:00,2023-04-21 11:19:56.597627767+00:00,146,Clerk-000008
16,3,Appraise property,2023-04-21 11:36:05.221447608+00:00,2023-04-21 11:36:06.750272369+00:00,147,Appraiser-000001
13,10,Approve application,2023-04-21 08:46:18.536988518+00:00,2023-04-21 08:51:18.536988518+00:00,148,Clerk-000007
15,9,Approve application,2023-04-21 09:25:51.183110035+00:00,2023-04-21 09:30:51.183110035+00:00,149,Clerk-000006
21,7,AML check,2023-04-21 10:31:56.280281268+00:00,2023-04-21 13:12:57.676444002+00:00,150,AML Investigator-000002
17,17,Approve loan offer,2023-04-21 10:50:39.726158822+00:00,2023-04-21 11:10:39.726158822+00:00,151,Senior Officer-000002
18,16,Assess loan risk,2023-04-21 10:57:31.951301675+00:00,2023-04-21 11:17:31.951301675+00:00,152,Loan Officer-000004
22,10,Check application form completeness,2023-04-21 11:00:00+00:00,2023-04-21 11:42:51.900374207+00:00,153,Clerk-000007
19,6,Appraise property,2023-04-21 11:19:56.597627767+00:00,2023-04-21 11:32:51.438557542+00:00,154,Appraiser-000002
20,6,Appraise property,2023-04-21 11:32:51.438557542+00:00,2023-04-21 11:47:10.760734847+00:00,155,Appraiser-000002
16,13,Assess loan risk,2023-04-21 11:36:06.750272369+00:00,2023-04-21 11:56:06.750272369+00:00,156,Loan Officer-000002
17,8,Cancel application,2023-04-21 11:10:39.726158822+00:00,2023-04-21 11:15:39.726158822+00:00,157,Clerk-000005
18,8,Reject application,2023-04-21 11:17:31.951301675+00:00,2023-04-21 11:27:31.951301675+00:00,158,Clerk-000005
23,9,Check application form completeness,2023-04-21 11:30:00+00:00,2023-04-21 11:40:49.526802782+00:00,159,Clerk-000006
19,15,Assess loan risk,2023-04-21 11:32:51.438557542+00:00,2023-04-21 11:52:51.438557542+00:00,160,Loan Officer-000003
22,5,Check credit history,2023-04-21 11:42:51.900374207+00:00,2023-04-21 12:04:22.637232616+00:00,161,Clerk-000004
20,2,AML check,2023-04-21 11:47:10.760734847+00:00,2023-04-21 12:52:48.647127797+00:00,162,AML Investigator-000001
16,11,Design loan offer,2023-04-21 11:56:06.750272369+00:00,2023-04-21 11:58:35.793931106+00:00,163,Loan Officer-000001
21,3,Appraise property,2023-04-21 13:12:57.676444002+00:00,2023-04-21 13:50:56.682685590+00:00,164,Appraiser-000001
19,11,Design loan offer,2023-04-21 11:52:51.438557542+00:00,2023-04-21 11:55:33.462005958+00:00,165,Loan Officer-000001
16,17,Approve loan offer,2023-04-21 11:58:35.793931106+00:00,2023-04-21 12:18:35.793931106+00:00,166,Senior Officer-000002
24,1,Check application form completeness,2023-04-21 12:00:00+00:00,2023-04-21 12:01:21.474837606+00:00,167,Clerk-000002
20,16,Assess loan risk,2023-04-21 12:52:48.647127797+00:00,2023-04-21 13:12:48.647127797+00:00,169,Loan Officer-000004
21,0,Check credit history,2023-04-21 13:50:56.682685590+00:00,2023-04-21 14:10:28.576571604+00:00,170,Clerk-000001
19,17,Approve loan offer,2023-04-21 12:18:35.793931106+00:00,2023-04-21 12:38:35.793931106+00:00,171,Senior Officer-000002
16,4,Approve application,2023-04-21 12:18:35.793931106+00:00,2023-04-21 12:23:35.793931106+00:00,173,Clerk-000003
25,12,Check application form completeness,2023-04-21 12:30:00+00:00,2023-04-21 12:37:30.892636960+00:00,174,Clerk-000008
22,2,AML check,2023-04-21 12:52:48.647127797+00:00,2023-04-21 13:31:00.586124883+00:00,175,AML Investigator-000001
20,0,Reject application,2023-04-21 13:12:48.647127797+00:00,2023-04-21 13:22:48.647127797+00:00,176,Clerk-000001
21,15,Assess loan risk,2023-04-21 14:10:28.576571604+00:00,2023-04-21 14:30:28.576571604+00:00,177,Loan Officer-000003
23,3,Appraise property,2023-04-21 11:40:49.526802782+00:00,2023-04-21 12:15:00.328930870+00:00,178,Appraiser-000001
19,5,Cancel application,2023-04-21 12:38:35.793931106+00:00,2023-04-21 12:43:35.793931106+00:00,179,Clerk-000004
26,8,Check application form completeness,2023-04-21 13:00:00+00:00,2023-04-21 13:10:28.851119797+00:00,181,Clerk-000005
21,9,Reject application,2023-04-21 14:30:28.576571604+00:00,2023-04-21 14:40:28.576571604+00:00,182,Clerk-000006
23,10,Check credit history,2023-04-21 12:15:00.328930870+00:00,2023-04-21 16:12:38.721211260+00:00,183,Clerk-000007
27,1,Check application form completeness,2023-04-21 13:30:00+00:00,2023-04-21 13:31:10.853429839+00:00,185,Clerk-000002
24,6,Appraise property,2023-04-21 13:31:00.586124883+00:00,2023-04-21 14:15:31.515233182+00:00,186,Appraiser-000002
25,9,Check credit history,2023-04-21 12:52:48.647127797+00:00,2023-04-21 12:58:57.394329156+00:00,188,Clerk-000006
26,10,Return application back to applicant,2023-04-21 13:10:28.851119797+00:00,2023-04-21 13:15:28.851119797+00:00,189,Clerk-000007
27,12,Check credit history,2023-04-21 13:31:10.853429839+00:00,2023-04-21 13:56:15.442035102+00:00,190,Clerk-000008
22,6,Appraise property,2023-04-21 14:15:31.515233182+00:00,2023-04-21 14:31:35.910980627+00:00,191,Appraiser-000002
24,2,AML check,2023-04-21 14:15:31.515233182+00:00,2023-04-24 07:12:33.792923268+00:00,192,AML Investigator-000001
23,2,AML check,2023-04-24 07:12:33.792923268+00:00,2023-04-24 07:19:28.455641900+00:00,193,AML Investigator-000001
25,3,Appraise property,2023-04-21 13:50:56.682685590+00:00,2023-04-21 14:44:59.304421363+00:00,194,Appraiser-000001
26,18,Applicant completes form,2023-04-21 13:15:28.851119797+00:00,2023-04-21 14:15:28.851119797+00:00,195,Applicant-000001
27,3,Appraise property,2023-04-21 14:44:59.304421363+00:00,2023-04-21 14:53:34.639051979+00:00,196,Appraiser-000001
