case_id,resource,activity_name,start_timestamp,end_timestamp,agent
0,Clerk-000001,Check application form completeness,2023-02-09 08:00:00+00:00,2023-02-09 08:28:27.808000+00:00,0
0,Clerk-000002,Check credit history,2023-02-09 08:28:27.808000+00:00,2023-02-09 09:00:01.030000+00:00,1
0,AML Investigator-000001,AML check,2023-02-09 08:28:27.808000+00:00,2023-02-09 09:25:12.258000+00:00,2
0,Appraiser-000001,Appraise property,2023-02-09 08:28:27.808000+00:00,2023-02-09 09:35:08.311000+00:00,3
0,Loan Officer-000001,Assess loan risk,2023-02-09 09:35:08.311000+00:00,2023-02-09 09:55:08.311000+00:00,11
0,Loan Officer-000002,Design loan offer,2023-02-09 09:55:08.311000+00:00,2023-02-09 10:01:45.244000+00:00,13
0,Senior Officer-000001,Approve loan offer,2023-02-09 10:01:45.244000+00:00,2023-02-09 10:21:45.244000+00:00,14
0,Clerk-000003,Cancel application,2023-02-09 10:21:45.244000+00:00,2023-02-09 10:26:45.244000+00:00,4
1,Clerk-000003,Check application form completeness,2023-02-09 08:30:00+00:00,2023-02-09 08:59:57.164000+00:00,4
1,Clerk-000004,Check credit history,2023-02-09 08:59:57.164000+00:00,2023-02-09 09:15:59.425000+00:00,5
1,Appraiser-000002,Appraise property,2023-02-09 08:59:57.164000+00:00,2023-02-09 09:00:18.122000+00:00,6
1,AML Investigator-000002,AML check,2023-02-09 08:59:57.164000+00:00,2023-02-09 10:21:13.295000+00:00,7
1,Loan Officer-000003,Assess loan risk,2023-02-09 10:21:13.295000+00:00,2023-02-09 10:41:13.295000+00:00,15
1,Loan Officer-000004,Design loan offer,2023-02-09 10:41:13.295000+00:00,2023-02-09 10:42:11.527000+00:00,16
1,Senior Officer-000002,Approve loan offer,2023-02-09 10:42:11.527000+00:00,2023-02-09 11:02:11.527000+00:00,17
1,Clerk-000007,Approve application,2023-02-09 11:02:11.527000+00:00,2023-02-09 11:07:11.527000+00:00,10
2,Clerk-000005,Check application form completeness,2023-02-09 09:00:00+00:00,2023-02-09 09:04:40.802000+00:00,8
2,Clerk-000006,Check credit history,2023-02-09 09:04:40.802000+00:00,2023-02-09 09:14:41.633000+00:00,9
2,Appraiser-000002,Appraise property,2023-02-09 09:04:40.802000+00:00,2023-02-09 09:47:18.700000+00:00,6
2,AML Investigator-000001,AML check,2023-02-09 09:25:12.258000+00:00,2023-02-09 11:53:18.768000+00:00,2
2,Loan Officer-000002,Assess loan risk,2023-02-09 11:53:18.768000+00:00,2023-02-09 12:13:18.768000+00:00,13
2,Loan Officer-000004,Design loan offer,2023-02-09 12:13:18.768000+00:00,2023-02-09 12:38:42.587000+00:00,16
2,Senior Officer-000001,Approve loan offer,2023-02-09 12:38:42.587000+00:00,2023-02-09 12:58:42.587000+00:00,14
2,Clerk-000008,Cancel application,2023-02-09 12:58:42.587000+00:00,2023-02-09 13:03:42.587000+00:00,12
3,Clerk-000007,Check application form completeness,2023-02-09 09:30:00+00:00,2023-02-09 09:39:10.904000+00:00,10
3,Clerk-000008,Check credit history,2023-02-09 09:39:10.904000+00:00,2023-02-09 09:55:01.283000+00:00,12
3,Appraiser-000001,Appraise property,2023-02-09 09:39:10.904000+00:00,2023-02-09 10:52:37.300000+00:00,3
3,AML Investigator-000002,AML check,2023-02-09 10:21:13.295000+00:00,2023-02-09 10:50:57.177000+00:00,7
3,Loan Officer-000001,Assess loan risk,2023-02-09 10:52:37.300000+00:00,2023-02-09 11:12:37.300000+00:00,11
3,Clerk-000008,Reject application,2023-02-09 11:12:37.300000+00:00,2023-02-09 11:22:37.300000+00:00,12
4,Clerk-000001,Check application form completeness,2023-02-09 10:00:00+00:00,2023-02-09 10:35:22.185000+00:00,0
4,Clerk-000005,Check credit history,2023-02-09 10:35:22.185000+00:00,2023-02-09 10:58:54.100000+00:00,8
4,Appraiser-000002,Appraise property,2023-02-09 10:35:22.185000+00:00,2023-02-09 10:39:05.270000+00:00,6
4,AML Investigator-000002,AML check,2023-02-09 10:50:57.177000+00:00,2023-02-09 12:06:25.681000+00:00,7
