case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-04-20 08:00:00+00:00,2023-04-20 08:53:07.923662572+00:00,0,Clerk-000001
1,1,Check application form completeness,2023-04-20 08:30:00+00:00,2023-04-20 08:41:27.314828579+00:00,1,Clerk-000002
0,8,Check credit history,2023-04-20 08:53:07.923662572+00:00,2023-04-20 09:12:04.725395138+00:00,2,Clerk-000005
1,10,Check credit history,2023-04-20 08:41:27.314828579+00:00,2023-04-20 09:07:49.543359494+00:00,3,Clerk-000007
2,4,Check application form completeness,2023-04-20 09:00:00+00:00,2023-04-20 09:03:55.423033890+00:00,4,Clerk-000003
0,7,AML check,2023-04-20 09:12:04.725395138+00:00,2023-04-20 09:19:02.247603262+00:00,5,AML Investigator-000002
2,0,Check credit history,2023-04-20 09:03:55.423033890+00:00,2023-04-20 09:25:59.730740711+00:00,6,Clerk-000001
1,3,Appraise property,2023-04-20 09:07:49.543359494+00:00,2023-04-20 09:08:53.838373573+00:00,7,Appraiser-000001
0,3,Appraise property,2023-04-20 09:19:02.247603262+00:00,2023-04-20 09:36:25.506244574+00:00,8,Appraiser-000001
1,2,AML check,2023-04-20 09:08:53.838373573+00:00,2023-04-20 10:36:16.723366150+00:00,9,AML Investigator-000001
2,7,AML check,2023-04-20 09:25:59.730740711+00:00,2023-04-20 09:30:07.019486937+00:00,10,AML Investigator-000002
3,5,Check application form completeness,2023-04-20 09:30:00+00:00,2023-04-20 09:31:14.950579579+00:00,11,Clerk-000004
0,11,Assess loan risk,2023-04-20 09:36:25.506244574+00:00,2023-04-20 09:56:25.506244574+00:00,12,Loan Officer-000001
2,6,Appraise property,2023-04-20 09:30:07.019486937+00:00,2023-04-20 10:26:05.175841684+00:00,13,Appraiser-000002
3,4,Check credit history,2023-04-20 09:31:14.950579579+00:00,2023-04-20 10:21:02.574848077+00:00,14,Clerk-000003
0,0,Reject application,2023-04-20 09:56:25.506244574+00:00,2023-04-20 10:06:25.506244574+00:00,15,Clerk-000001
1,16,Assess loan risk,2023-04-20 10:36:16.723366150+00:00,2023-04-20 10:56:16.723366150+00:00,16,Loan Officer-000004
4,9,Check application form completeness,2023-04-20 10:00:00+00:00,2023-04-20 10:14:07.736094217+00:00,17,Clerk-000006
2,13,Assess loan risk,2023-04-20 10:26:05.175841684+00:00,2023-04-20 10:46:05.175841684+00:00,18,Loan Officer-000002
1,0,Reject application,2023-04-20 10:56:16.723366150+00:00,2023-04-20 11:06:16.723366150+00:00,19,Clerk-000001
4,10,Check credit history,2023-04-20 10:14:07.736094217+00:00,2023-04-20 10:18:01.317972262+00:00,20,Clerk-000007
3,3,Appraise property,2023-04-20 10:21:02.574848077+00:00,2023-04-20 10:27:03.563738898+00:00,21,Appraiser-000001
5,12,Check application form completeness,2023-04-20 10:30:00+00:00,2023-04-20 10:51:11.605642813+00:00,22,Clerk-000008
2,15,Design loan offer,2023-04-20 10:46:05.175841684+00:00,2023-04-20 11:02:10.260021395+00:00,23,Loan Officer-000003
3,7,AML check,2023-04-20 10:27:03.563738898+00:00,2023-04-20 10:28:48.655841373+00:00,25,AML Investigator-000002
5,3,Appraise property,2023-04-20 10:51:11.605642813+00:00,2023-04-20 12:04:01.354972343+00:00,26,Appraiser-000001
