case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-04-20 08:00:00+00:00,2023-04-20 08:00:26.428168619+00:00,0,Clerk-000001
0,9,Return application back to applicant,2023-04-20 08:00:26.428168619+00:00,2023-04-20 08:05:26.428168619+00:00,1,Clerk-000006
0,18,Applicant completes form,2023-04-20 08:05:26.428168619+00:00,2023-04-20 09:05:26.428168619+00:00,2,Applicant-000001
1,1,Check application form completeness,2023-04-20 08:30:00+00:00,2023-04-20 08:40:17.113988725+00:00,3,Clerk-000002
0,0,Check application form completeness,2023-04-20 09:05:26.428168619+00:00,2023-04-20 09:13:55.940321943+00:00,4,Clerk-000001
1,7,AML check,2023-04-20 08:40:17.113988725+00:00,2023-04-20 11:25:24.499444254+00:00,5,AML Investigator-000002
2,4,Check application form completeness,2023-04-20 09:00:00+00:00,2023-04-20 09:12:40.061615411+00:00,6,Clerk-000003
0,2,AML check,2023-04-20 09:13:55.940321943+00:00,2023-04-20 09:33:53.001516240+00:00,7,AML Investigator-000001
2,0,Check credit history,2023-04-20 09:12:40.061615411+00:00,2023-04-20 09:56:26.552053165+00:00,8,Clerk-000001
3,5,Check application form completeness,2023-04-20 09:30:00+00:00,2023-04-20 09:31:51.661289896+00:00,9,Clerk-000004
0,3,Appraise property,2023-04-20 09:33:53.001516240+00:00,2023-04-20 09:49:31.488502249+00:00,10,Appraiser-000001
1,3,Appraise property,2023-04-20 11:25:24.499444254+00:00,2023-04-20 11:47:06.192348594+00:00,11,Appraiser-000001
0,10,Check credit history,2023-04-20 09:49:31.488502249+00:00,2023-04-20 10:26:36.363875205+00:00,13,Clerk-000007
2,6,Appraise property,2023-04-20 09:56:26.552053165+00:00,2023-04-20 11:27:25.149020058+00:00,14,Appraiser-000002
4,8,Check application form completeness,2023-04-20 10:00:00+00:00,2023-04-20 10:16:16.822562709+00:00,15,Clerk-000005
1,10,Check credit history,2023-04-20 11:47:06.192348594+00:00,2023-04-20 13:06:33.077678267+00:00,16,Clerk-000007
4,4,Check credit history,2023-04-20 10:16:16.822562709+00:00,2023-04-20 10:54:41.839287797+00:00,17,Clerk-000003
0,13,Assess loan risk,2023-04-20 10:26:36.363875205+00:00,2023-04-20 10:46:36.363875205+00:00,18,Loan Officer-000002
5,12,Check application form completeness,2023-04-20 10:30:00+00:00,2023-04-20 10:45:46.106872162+00:00,19,Clerk-000008
3,4,Check credit history,2023-04-20 11:25:24.499444254+00:00,2023-04-20 11:33:25.102225430+00:00,20,Clerk-000003
2,2,AML check,2023-04-20 11:27:25.149020058+00:00,2023-04-20 12:05:59.912221877+00:00,21,AML Investigator-000001
1,16,Assess loan risk,2023-04-20 13:06:33.077678267+00:00,2023-04-20 13:26:33.077678267+00:00,22,Loan Officer-000004
0,16,Design loan offer,2023-04-20 10:46:36.363875205+00:00,2023-04-20 10:50:20.844515283+00:00,24,Loan Officer-000004
4,3,Appraise property,2023-04-20 11:47:06.192348594+00:00,2023-04-20 12:03:29.023939326+00:00,25,Appraiser-000001
6,9,Check application form completeness,2023-04-20 11:00:00+00:00,2023-04-20 11:16:06.699536368+00:00,26,Clerk-000006
3,7,AML check,2023-04-20 11:33:25.102225430+00:00,2023-04-20 12:03:50.084364360+00:00,27,AML Investigator-000002
2,15,Assess loan risk,2023-04-20 12:05:59.912221877+00:00,2023-04-20 12:25:59.912221877+00:00,28,Loan Officer-000003
1,10,Reject application,2023-04-20 13:26:33.077678267+00:00,2023-04-20 13:36:33.077678267+00:00,29,Clerk-000007
0,14,Approve loan offer,2023-04-20 10:50:20.844515283+00:00,2023-04-20 11:10:20.844515283+00:00,30,Senior Officer-000001
6,4,Check credit history,2023-04-20 11:16:06.699536368+00:00,2023-04-20 12:03:43.960098648+00:00,31,Clerk-000003
5,2,AML check,2023-04-20 12:05:59.912221877+00:00,2023-04-20 12:33:09.834973140+00:00,32,AML Investigator-000001
7,1,Check application form completeness,2023-04-20 11:30:00+00:00,2023-04-20 11:35:26.607033200+00:00,33,Clerk-000002
3,6,Appraise property,2023-04-20 12:03:50.084364360+00:00,2023-04-20 13:33:37.077583789+00:00,35,Appraiser-000002
2,4,Reject application,2023-04-20 12:25:59.912221877+00:00,2023-04-20 12:35:59.912221877+00:00,36,Clerk-000003
0,9,Cancel application,2023-04-20 11:10:20.844515283+00:00,2023-04-20 11:15:20.844515283+00:00,37,Clerk-000006
7,9,Check credit history,2023-04-20 11:35:26.607033200+00:00,2023-04-20 12:16:39.010477323+00:00,38,Clerk-000006
8,5,Check application form completeness,2023-04-20 12:00:00+00:00,2023-04-20 12:22:47.533325980+00:00,39,Clerk-000004
6,3,Appraise property,2023-04-20 12:03:43.960098648+00:00,2023-04-20 12:58:52.796030855+00:00,40,Appraiser-000001
4,7,AML check,2023-04-20 12:05:59.912221877+00:00,2023-04-20 12:37:16.477295312+00:00,41,AML Investigator-000002
5,8,Check credit history,2023-04-20 12:33:09.834973140+00:00,2023-04-20 12:38:57.524877855+00:00,42,Clerk-000005
8,1,Check credit history,2023-04-20 12:22:47.533325980+00:00,2023-04-20 12:28:59.784526267+00:00,43,Clerk-000002
9,0,Check application form completeness,2023-04-20 12:30:00+00:00,2023-04-20 12:38:51.604840864+00:00,44,Clerk-000001
4,11,Assess loan risk,2023-04-20 12:37:16.477295312+00:00,2023-04-20 12:57:16.477295312+00:00,45,Loan Officer-000001
5,6,Appraise property,2023-04-20 13:33:37.077583789+00:00,2023-04-20 13:44:24.532571864+00:00,46,Appraiser-000002
6,2,AML check,2023-04-20 12:58:52.796030855+00:00,2023-04-20 13:11:34.372564250+00:00,47,AML Investigator-000001
3,11,Assess loan risk,2023-04-20 13:33:37.077583789+00:00,2023-04-20 13:53:37.077583789+00:00,48,Loan Officer-000001
7,3,Appraise property,2023-04-20 12:58:52.796030855+00:00,2023-04-20 14:04:00.879130751+00:00,49,Appraiser-000001
9,2,AML check,2023-04-20 13:11:34.372564250+00:00,2023-04-20 14:12:52.230765228+00:00,51,AML Investigator-000001
4,16,Design loan offer,2023-04-20 12:57:16.477295312+00:00,2023-04-20 13:30:24.434762348+00:00,52,Loan Officer-000004
10,12,Check application form completeness,2023-04-20 13:00:00+00:00,2023-04-20 14:01:17.139190599+00:00,53,Clerk-000008
6,15,Assess loan risk,2023-04-20 13:11:34.372564250+00:00,2023-04-20 13:31:34.372564250+00:00,54,Loan Officer-000003
5,13,Assess loan risk,2023-04-20 13:44:24.532571864+00:00,2023-04-20 14:04:24.532571864+00:00,55,Loan Officer-000002
3,5,Reject application,2023-04-20 13:53:37.077583789+00:00,2023-04-20 14:03:37.077583789+00:00,56,Clerk-000004
11,9,Check application form completeness,2023-04-20 13:30:00+00:00,2023-04-20 15:09:57.676111893+00:00,57,Clerk-000006
4,14,Approve loan offer,2023-04-20 13:30:24.434762348+00:00,2023-04-20 13:50:24.434762348+00:00,58,Senior Officer-000001
6,11,Design loan offer,2023-04-20 13:31:34.372564250+00:00,2023-04-20 13:35:48.755184444+00:00,59,Loan Officer-000001
10,6,Appraise property,2023-04-20 14:01:17.139190599+00:00,2023-04-20 14:14:07.123916165+00:00,61,Appraiser-000002
5,11,Design loan offer,2023-04-20 14:04:24.532571864+00:00,2023-04-20 14:08:55.700518440+00:00,62,Loan Officer-000001
9,3,Appraise property,2023-04-20 14:12:52.230765228+00:00,2023-04-20 14:17:01.835772170+00:00,63,Appraiser-000001
6,17,Approve loan offer,2023-04-20 13:35:48.755184444+00:00,2023-04-20 13:55:48.755184444+00:00,64,Senior Officer-000002
4,10,Cancel application,2023-04-20 13:50:24.434762348+00:00,2023-04-20 13:55:24.434762348+00:00,65,Clerk-000007
12,1,Check application form completeness,2023-04-20 14:00:00+00:00,2023-04-20 14:11:25.099816081+00:00,66,Clerk-000002
8,2,AML check,2023-04-20 14:12:52.230765228+00:00,2023-04-20 14:20:30.185683465+00:00,67,AML Investigator-000001
7,7,AML check,2023-04-20 14:04:00.879130751+00:00,2023-04-21 07:48:11.720205570+00:00,68,AML Investigator-000002
5,14,Approve loan offer,2023-04-20 14:08:55.700518440+00:00,2023-04-20 14:28:55.700518440+00:00,69,Senior Officer-000001
10,12,Check credit history,2023-04-20 14:14:07.123916165+00:00,2023-04-20 14:55:01.162701743+00:00,70,Clerk-000008
9,0,Check credit history,2023-04-20 14:17:01.835772170+00:00,2023-04-20 14:23:44.168592394+00:00,71,Clerk-000001
11,8,Check credit history,2023-04-20 15:09:57.676111893+00:00,2023-04-20 15:10:04.285824637+00:00,72,Clerk-000005
12,4,Check credit history,2023-04-20 14:11:25.099816081+00:00,2023-04-20 14:15:48.638250521+00:00,73,Clerk-000003
8,3,Appraise property,2023-04-20 14:20:30.185683465+00:00,2023-04-20 14:59:29.201023646+00:00,74,Appraiser-000001
